Image,whaleID,height,width,image_width,image_height,bboxx,bboxy,filename,x_1,y_1,x_2,y_2,bboxx_new,bboxy_new,width_new,height_new,x1_550,x2_550,y1_550,y2_550
w_7812.jpg,whale_48813,505.953357513,505.953357513,3072,2048,1411.34357622,985.277590947,w_7812.jpg,1668.2113659,1370.09770688,1647.79262213,1108.73778664,275.65304223,192.437029482,98.8190151393,98.8190151393,279.603345139,257.407012401,418.623052182,134.509993147
w_4598.jpg,whale_09913,478.725078142,628.913337951,3072,2048,1192.11931224,1018.46413683,w_4598.jpg,1639.62512463,1212.87337986,1353.76271186,1265.96211366,232.835803172,198.918776725,122.834636319,93.5009918246,391.459051176,141.465423222,223.887078026,284.879921149
w_3828.jpg,whale_45062,459.951545666,600.753039237,3072,2048,1060.7045849,826.035428951,w_3828.jpg,1118.94715852,908.634097707,1345.59521436,963.764705882,207.168864238,161.335044717,117.334577976,89.8342862629,53.9671629913,261.467454409,98.81204698,164.736022629
w_8734.jpg,whale_74162,356.471430499,337.585526896,3072,2048,1496.70786051,984.427725285,w_8734.jpg,1690.67198405,1223.08275174,1682.50448654,1069.94217348,292.325754006,192.271040095,65.9346732219,69.6233262693,317.162860067,303.856236196,368.880931841,132.600234885
w_3251.jpg,whale_99558,538.248252674,439.09725876,3072,2048,1406.99981839,644.481460438,w_3251.jpg,1655.96011964,1071.98404786,1662.08574277,878.005982054,274.804652029,125.875285242,85.7611833516,105.12661185,313.092516656,320.765287675,437.328361316,239.115109971
w_8063.jpg,whale_59255,577.286123642,567.899357404,3072,2048,1417.40170195,722.781000332,w_8063.jpg,1604.91326022,765.702891326,1639.62512463,875.964107677,276.836269912,141.168164127,110.917843243,112.751196024,181.990509011,215.608306208,41.6372215526,146.686808767
w_5624.jpg,whale_87291,618.450683948,626.922611125,3072,2048,1228.42944072,834.484826971,w_5624.jpg,1363.97208375,951.513459621,1568.15952144,1133.24027916,239.927625141,162.985317768,122.445822485,120.791149209,119.288481123,298.422378571,104.506963076,266.120093016
w_825.jpg,whale_33152,545.330466525,590.184487581,3504,2336,1534.47966771,864.030089819,w_825.jpg,2033.22831505,966.540378863,1707.1665005,1108.61016949,262.753367759,147.950357846,101.058987599,93.378504542,465.236852298,161.375937998,103.418407437,246.704707472
w_3974.jpg,whale_88147,703.55240658,644.26428243,5184,3456,1644.25730976,984.18286089,w_3974.jpg,1722.83150548,1454.06979063,2053.61515454,1106.05782652,190.307559,113.910053344,74.5676252813,81.4296766875,67.2974262215,349.683105429,367.475659849,95.4183426254
w_3049.jpg,whale_77693,389.450939665,798.87372239,3072,2048,1434.64405979,562.540246183,w_3049.jpg,2115.38185444,622.771684945,1833.60319043,657.483549352,280.203917928,109.871141833,156.030023904,76.0646366533,469.110460688,275.114512565,85.824486002,134.846130269
w_6660.jpg,whale_74625,919.903091332,868.275877022,5184,3456,2290.37096209,887.049409498,w_6660.jpg,2508.44267198,1081.93818544,3028.73778664,1429.95014955,265.089231723,102.667755729,100.494893174,106.4702652,138.370157191,467.945492216,116.551409602,324.623957748
w_3909.jpg,whale_06069,460.343900313,632.677770687,3072,2048,1397.55686659,887.637469322,w_3909.jpg,1925.48753739,1157.74277168,1678.42073779,1031.14656032,272.960325506,173.366693227,123.569877087,89.9109180299,459.425254105,244.64492504,323.472352567,172.220394627
w_2632.jpg,whale_62939,638.300104189,882.356026379,5184,3456,1905.51354633,1070.09135114,w_2632.jpg,2060.50648056,1240.43868395,2398.18145563,1233.54735793,220.545549344,123.853165641,102.12454009,73.8773268737,96.9320339534,307.415365779,146.860819162,140.922814004
w_7754.jpg,whale_67036,715.41003141,671.9320737,3072,2048,944.65744479,1177.85739978,w_7754.jpg,1314.9670987,1751.92821535,1276.17148554,1384.39082752,184.503407186,230.050273395,131.236733145,139.72852176,303.649598331,271.894026491,441.998999957,159.439971664
w_1681.jpg,whale_78785,542.568403123,485.981514454,3072,2048,1484.57366744,822.174205959,w_1681.jpg,1633.4995015,898.424725823,1747.8444666,1029.10468594,289.955794422,160.580899601,94.9182645418,105.970391235,169.193114099,298.600774544,77.471520569,209.941413122
w_4130.jpg,whale_75682,432.723266294,459.352390374,3072,2048,1621.04792835,828.831486979,w_4130.jpg,1823.39381854,839.210368893,1911.19441675,969.890329013,316.610923506,161.881149801,89.7172637449,84.516262948,242.333778009,347.460756833,14.2486049894,180.345470271
w_1194.jpg,whale_08017,502.837183419,635.038508637,3072,2048,1071.77502945,696.417695346,w_1194.jpg,1153.65902293,812.666001994,1472.19142572,894.340977069,209.331060439,136.019081122,124.030958718,98.2103873865,71.5900878343,347.467564793,127.608504726,216.944054627
w_5390.jpg,whale_23574,439.380547314,545.897043633,3072,2048,1554.47511815,968.634388397,w_5390.jpg,1717.21635095,1084.23529412,1956.11565304,1204.70588235,303.608421514,189.186403984,106.620516335,85.8165131473,164.443083306,405.137950006,145.498957923,296.2994973
w_8923.jpg,whale_06069,410.199147397,508.981799219,3072,2048,1480.0654951,813.701165856,w_8923.jpg,1900.98504487,1106.69591226,1668.2113659,953.555333998,289.075292012,158.926008956,99.41050766,80.117020976,454.911698284,203.379082324,393.791047027,188.458299315
w_8790.jpg,whale_46169,675.847169142,586.67288988,3072,2048,1023.15751995,1192.11931224,w_8790.jpg,1257.79461615,1574.28514457,1253.7108674,1357.84646062,199.835453115,232.835803172,114.584548805,132.001400223,220.117617688,216.289143846,311.101146995,134.964763493
w_4522.jpg,whale_11242,1201.57264944,1110.66419241,5184,3456,2067.17926203,1055.32860987,w_4522.jpg,2704.84546361,1257.666999,2277.58325025,1698.71186441,239.256859031,122.144515031,128.549096344,139.0709085,315.860552076,104.28065335,92.7674656226,294.648455581
w_6695.jpg,whale_03227,296.2269,429.4296,3072,2048,1288.2888,1039.7763,w_6695.jpg,1608.99700897,1172.03589232,1310.88334995,1108.73778664,251.61890625,203.081308594,83.87296875,57.8568164062,411.122928959,29.3082788716,247.005726948,129.481092541
w_1052.jpg,whale_24815,427.097863833,520.965526213,3072,2048,1088.86488362,286.296370261,w_1052.jpg,1506.90329013,590.101694915,1310.88334995,404.29112662,212.668922582,55.9172598166,101.751079338,83.4175515299,442.249626854,235.305094684,391.61032252,152.330707199
w_7212.jpg,whale_36231,505.92532608,620.54903277,3072,2048,1418.96243799,553.3558254,w_7212.jpg,1882.60817547,749.367896311,1653.91824526,826.959122632,277.14110117,108.077309648,121.200982963,98.81354025,411.787760538,209.097151137,213.474869519,297.82560722
w_735.jpg,whale_89615,259.633959777,366.150456095,3072,2048,1351.42804704,1135.0664139,w_735.jpg,1443.60518445,1178.16151545,1559.99202393,1212.87337986,263.950790437,221.692658965,71.5137609561,50.7097577689,139.103613282,313.93000131,91.4319279261,164.964394333
w_3805.jpg,whale_64989,709.000428621,832.160127489,3072,2048,1015.23535554,1135.0664139,w_3805.jpg,1251.66899302,1627.37387836,1517.11266201,1410.93519442,198.288155379,221.692658965,162.5312749,138.476646215,156.421753291,331.861567243,381.954117609,214.053970639
w_707.jpg,whale_52342,580.74153578,611.431129134,3072,2048,1303.12734858,823.897544663,w_707.jpg,1370.09770688,1229.20837488,1519.15453639,1010.72781655,254.51706027,160.917489192,119.420142409,113.426081207,60.356329643,194.437262596,384.705746738,177.790450211
w_9271.jpg,whale_63948,605.812572812,549.225684143,3072,2048,1028.54991758,1288.18387735,w_9271.jpg,1176.11964108,1743.76071785,1417.06081755,1423.18644068,200.888655777,251.598413545,107.270641434,118.322768127,148.328464866,389.609327878,413.772189729,122.731923553
w_7097.jpg,whale_80947,203.624189512,319.368465656,3072,2048,1516.46435874,920.595677848,w_7097.jpg,1715.17447657,965.806580259,1568.15952144,998.476570289,296.184445066,179.80384333,62.3766534484,39.7703495141,343.008073413,89.8264540085,123.726062227,211.969480455
w_3779.jpg,whale_80247,1060.7045849,1065.39796802,5184,3456,1393.93478635,1750.6319034,w_3779.jpg,1653.91824526,2467.09471585,2046.72382851,2081.18045862,161.335044716,202.619433264,123.309950002,122.766734363,134.696178518,337.477746789,371.830290292,171.724771283
w_5312.jpg,whale_11076,540.608990624,542.969728575,3072,2048,982.066987335,245.516746834,w_5312.jpg,1284.33898305,312.406779661,1200.6221336,616.646061815,191.809958464,47.952489616,106.048775112,105.587693481,306.253612174,221.452812472,68.5777141271,378.101987838
w_6038.jpg,whale_70138,648.21682404,964.42015284,5184,3456,2082.98942847,1312.24381452,w_6038.jpg,2298.25722832,1433.39581256,2684.17148554,1281.78664008,241.086739406,151.880071125,111.622702875,75.025095375,123.329521087,343.412895377,103.002104283,-25.6354777286
w_5859.jpg,whale_11242,844.808961427,680.540552261,5184,3456,2590.74748171,1417.40170195,w_5859.jpg,2990.83549352,1977.8105683,2880.57427717,1602.2333001,299.855032605,164.051122911,78.7662676228,97.77881498,323.947662933,234.83663378,365.107174105,120.593317196
w_6731.jpg,whale_07863,802.568513356,755.634682165,5184,3456,2454.63937126,1788.17896835,w_6731.jpg,2866.79162512,2281.02891326,2842.67198405,1953.69092722,284.101779081,206.965158374,87.4577178432,92.889874231,300.456555495,282.900714159,337.872590041,113.547950679
w_4144.jpg,whale_36300,366.083883285,413.017714475,3072,2048,1483.10906562,1112.33179921,w_4144.jpg,1770.30508475,1208.78963111,1723.34197408,1288.4227318,289.669739379,217.252304533,80.6675223584,71.5007584541,382.593266764,320.054276394,145.415571515,265.055379164
w_4817.jpg,whale_64634,490.563675,431.696034,3072,2048,1494.116793,863.392068,w_4817.jpg,1800.9332004,929.052841476,1653.91824526,1102.61216351,291.819686133,168.631263281,84.3156316406,95.8132177734,391.046585848,203.74297646,74.0557539484,268.643392584
w_2319.jpg,whale_22448,571.298583978,623.234818886,3072,2048,1860.26150486,823.897544663,w_2319.jpg,2235.85244267,945.387836491,2076.58624128,1133.24027916,363.332325168,160.917489192,121.725550564,111.581754683,331.686929556,191.135714973,117.825095244,298.674210515
w_446.jpg,whale_68116,479.229803916,495.754969568,3072,2048,1135.51495411,797.92942721,w_446.jpg,1241.45962114,1110.77966102,1396.64207378,894.340977069,221.780264475,155.845591252,96.8271424938,93.5995710773,118.108330166,290.270697043,360.117029765,111.715792612
w_8673.jpg,whale_30331,529.495448586,639.630501891,3072,2048,703.169955722,478.663885521,w_8673.jpg,837.168494516,826.959122632,1047.48155533,645.232303091,137.337881977,93.4890401408,124.927832401,103.417079802,115.367656429,296.209850642,362.47245932,173.708323548
w_5770.jpg,whale_88147,960.46761123,1122.52181724,5184,3456,2142.27755262,794.46086361,w_5770.jpg,3018.40079761,1292.12362911,2577.3559322,1092.27517448,247.948790812,91.9514888437,129.921506625,111.165232781,429.40852577,213.310564688,285.244388053,170.803621117
w_133.jpg,whale_64006,539.73905869,497.498610618,3072,2048,1309.45389021,718.087617213,w_133.jpg,1649.83449651,1149.57527418,1545.69890329,908.634097707,255.752712932,140.251487737,97.1676973863,105.4177849,376.803008249,261.677910312,439.779921385,194.25822914
