Image,whaleID,height,width,image_width,image_height,bboxx,bboxy,filename,x_1,y_1,x_2,y_2
w_7812.jpg,whale_48813,505.953357513,505.953357513,3072,2048,1411.34357622,985.277590947,w_7812.jpg,1668.2113659,1370.09770688,1647.79262213,1108.73778664
w_4598.jpg,whale_09913,478.725078142,628.913337951,3072,2048,1192.11931224,1018.46413683,w_4598.jpg,1639.62512463,1212.87337986,1353.76271186,1265.96211366
w_3828.jpg,whale_45062,459.951545666,600.753039237,3072,2048,1060.7045849,826.035428951,w_3828.jpg,1118.94715852,908.634097707,1345.59521436,963.764705882
w_8734.jpg,whale_74162,356.471430499,337.585526896,3072,2048,1496.70786051,984.427725285,w_8734.jpg,1690.67198405,1223.08275174,1682.50448654,1069.94217348
w_3251.jpg,whale_99558,538.248252674,439.09725876,3072,2048,1406.99981839,644.481460438,w_3251.jpg,1655.96011964,1071.98404786,1662.08574277,878.005982054
w_8063.jpg,whale_59255,577.286123642,567.899357404,3072,2048,1417.40170195,722.781000332,w_8063.jpg,1604.91326022,765.702891326,1639.62512463,875.964107677
w_5624.jpg,whale_87291,618.450683948,626.922611125,3072,2048,1228.42944072,834.484826971,w_5624.jpg,1363.97208375,951.513459621,1568.15952144,1133.24027916
w_825.jpg,whale_33152,545.330466525,590.184487581,3504,2336,1534.47966771,864.030089819,w_825.jpg,2033.22831505,966.540378863,1707.1665005,1108.61016949
w_3974.jpg,whale_88147,703.55240658,644.26428243,5184,3456,1644.25730976,984.18286089,w_3974.jpg,1722.83150548,1454.06979063,2053.61515454,1106.05782652
w_3049.jpg,whale_77693,389.450939665,798.87372239,3072,2048,1434.64405979,562.540246183,w_3049.jpg,2115.38185444,622.771684945,1833.60319043,657.483549352
w_6660.jpg,whale_74625,919.903091332,868.275877022,5184,3456,2290.37096209,887.049409498,w_6660.jpg,2508.44267198,1081.93818544,3028.73778664,1429.95014955
w_3909.jpg,whale_06069,460.343900313,632.677770687,3072,2048,1397.55686659,887.637469322,w_3909.jpg,1925.48753739,1157.74277168,1678.42073779,1031.14656032
w_2632.jpg,whale_62939,638.300104189,882.356026379,5184,3456,1905.51354633,1070.09135114,w_2632.jpg,2060.50648056,1240.43868395,2398.18145563,1233.54735793
w_7754.jpg,whale_67036,715.41003141,671.9320737,3072,2048,944.65744479,1177.85739978,w_7754.jpg,1314.9670987,1751.92821535,1276.17148554,1384.39082752
w_1681.jpg,whale_78785,542.568403123,485.981514454,3072,2048,1484.57366744,822.174205959,w_1681.jpg,1633.4995015,898.424725823,1747.8444666,1029.10468594
w_4130.jpg,whale_75682,432.723266294,459.352390374,3072,2048,1621.04792835,828.831486979,w_4130.jpg,1823.39381854,839.210368893,1911.19441675,969.890329013
w_1194.jpg,whale_08017,502.837183419,635.038508637,3072,2048,1071.77502945,696.417695346,w_1194.jpg,1153.65902293,812.666001994,1472.19142572,894.340977069
w_5390.jpg,whale_23574,439.380547314,545.897043633,3072,2048,1554.47511815,968.634388397,w_5390.jpg,1717.21635095,1084.23529412,1956.11565304,1204.70588235
w_8923.jpg,whale_06069,410.199147397,508.981799219,3072,2048,1480.0654951,813.701165856,w_8923.jpg,1900.98504487,1106.69591226,1668.2113659,953.555333998
w_8790.jpg,whale_46169,675.847169142,586.67288988,3072,2048,1023.15751995,1192.11931224,w_8790.jpg,1257.79461615,1574.28514457,1253.7108674,1357.84646062
w_4522.jpg,whale_11242,1201.57264944,1110.66419241,5184,3456,2067.17926203,1055.32860987,w_4522.jpg,2704.84546361,1257.666999,2277.58325025,1698.71186441
