Image,whaleID,height,width,image_width,image_height,bboxx,bboxy,filename,x_1,y_1,x_2,y_2,bboxx_new,bboxy_new,width_new,height_new
w_7812.jpg,whale_48813,505.953357513,505.953357513,3072,2048,1411.34357622,985.277590947,w_7812.jpg,1668.2113659,1370.09770688,1647.79262213,1108.73778664,137.826521115,128.932809753,49.4095075696,66.2087401433
w_4598.jpg,whale_09913,478.725078142,628.913337951,3072,2048,1192.11931224,1018.46413683,w_4598.jpg,1639.62512463,1212.87337986,1353.76271186,1265.96211366,116.417901586,133.275580405,61.4173181593,62.6456645225
w_3828.jpg,whale_45062,459.951545666,600.753039237,3072,2048,1060.7045849,826.035428951,w_3828.jpg,1118.94715852,908.634097707,1345.59521436,963.764705882,103.584432119,108.09447996,58.667288988,60.1889717961
w_8734.jpg,whale_74162,356.471430499,337.585526896,3072,2048,1496.70786051,984.427725285,w_8734.jpg,1690.67198405,1223.08275174,1682.50448654,1069.94217348,146.162877003,128.821596863,32.9673366109,46.6476286005
w_3251.jpg,whale_99558,538.248252674,439.09725876,3072,2048,1406.99981839,644.481460438,w_3251.jpg,1655.96011964,1071.98404786,1662.08574277,878.005982054,137.402326015,84.336441112,42.8805916758,70.4348299398
w_8063.jpg,whale_59255,577.286123642,567.899357404,3072,2048,1417.40170195,722.781000332,w_8063.jpg,1604.91326022,765.702891326,1639.62512463,875.964107677,138.418134956,94.5826699653,55.4589216215,75.543301336
w_5624.jpg,whale_87291,618.450683948,626.922611125,3072,2048,1228.42944072,834.484826971,w_5624.jpg,1363.97208375,951.513459621,1568.15952144,1133.24027916,119.96381257,109.200162904,61.2229112427,80.9300699698
w_825.jpg,whale_33152,545.330466525,590.184487581,3504,2336,1534.47966771,864.030089819,w_825.jpg,2033.22831505,966.540378863,1707.1665005,1108.61016949,131.376683879,99.1267397566,50.5294937997,62.5635980431
w_3974.jpg,whale_88147,703.55240658,644.26428243,5184,3456,1644.25730976,984.18286089,w_3974.jpg,1722.83150548,1454.06979063,2053.61515454,1106.05782652,95.1537795,76.3197357403,37.2838126406,54.5578833806
w_3049.jpg,whale_77693,389.450939665,798.87372239,3072,2048,1434.64405979,562.540246183,w_3049.jpg,2115.38185444,622.771684945,1833.60319043,657.483549352,140.101958964,73.6136650279,78.0150119521,50.9633065577
w_6660.jpg,whale_74625,919.903091332,868.275877022,5184,3456,2290.37096209,887.049409498,w_6660.jpg,2508.44267198,1081.93818544,3028.73778664,1429.95014955,132.544615862,68.7873963384,50.2474465869,71.3350776843
w_3909.jpg,whale_06069,460.343900313,632.677770687,3072,2048,1397.55686659,887.637469322,w_3909.jpg,1925.48753739,1157.74277168,1678.42073779,1031.14656032,136.480162753,116.155684462,61.7849385437,60.24031508
w_2632.jpg,whale_62939,638.300104189,882.356026379,5184,3456,1905.51354633,1070.09135114,w_2632.jpg,2060.50648056,1240.43868395,2398.18145563,1233.54735793,110.272774672,82.9816209796,51.0622700451,49.4978090054
w_7754.jpg,whale_67036,715.41003141,671.9320737,3072,2048,944.65744479,1177.85739978,w_7754.jpg,1314.9670987,1751.92821535,1276.17148554,1384.39082752,92.2517035928,154.133683174,65.6183665723,93.618109579
w_1681.jpg,whale_78785,542.568403123,485.981514454,3072,2048,1484.57366744,822.174205959,w_1681.jpg,1633.4995015,898.424725823,1747.8444666,1029.10468594,144.977897211,107.589202733,47.4591322709,71.0001621274
w_4130.jpg,whale_75682,432.723266294,459.352390374,3072,2048,1621.04792835,828.831486979,w_4130.jpg,1823.39381854,839.210368893,1911.19441675,969.890329013,158.305461753,108.460370366,44.8586318725,56.6258961752
w_1194.jpg,whale_08017,502.837183419,635.038508637,3072,2048,1071.77502945,696.417695346,w_1194.jpg,1153.65902293,812.666001994,1472.19142572,894.340977069,104.66553022,91.1327843519,62.0154793591,65.800959549
w_5390.jpg,whale_23574,439.380547314,545.897043633,3072,2048,1554.47511815,968.634388397,w_5390.jpg,1717.21635095,1084.23529412,1956.11565304,1204.70588235,151.804210757,126.754890669,53.3102581673,57.4970638087
w_8923.jpg,whale_06069,410.199147397,508.981799219,3072,2048,1480.0654951,813.701165856,w_8923.jpg,1900.98504487,1106.69591226,1668.2113659,953.555333998,144.537646006,106.480426001,49.70525383,53.6784040539
w_8790.jpg,whale_46169,675.847169142,586.67288988,3072,2048,1023.15751995,1192.11931224,w_8790.jpg,1257.79461615,1574.28514457,1253.7108674,1357.84646062,99.9177265576,155.999988125,57.2922744023,88.4409381494
w_4522.jpg,whale_11242,1201.57264944,1110.66419241,5184,3456,2067.17926203,1055.32860987,w_4522.jpg,2704.84546361,1257.666999,2277.58325025,1698.71186441,119.628429516,81.8368250709,64.2745481719,93.177508695
w_6695.jpg,whale_03227,296.2269,429.4296,3072,2048,1288.2888,1039.7763,w_6695.jpg,1608.99700897,1172.03589232,1310.88334995,1108.73778664,125.809453125,136.064476758,41.936484375,38.7640669922
w_1052.jpg,whale_24815,427.097863833,520.965526213,3072,2048,1088.86488362,286.296370261,w_1052.jpg,1506.90329013,590.101694915,1310.88334995,404.29112662,106.334461291,37.4645640771,50.8755396692,55.889759525
w_7212.jpg,whale_36231,505.92532608,620.54903277,3072,2048,1418.96243799,553.3558254,w_7212.jpg,1882.60817547,749.367896311,1653.91824526,826.959122632,138.570550585,72.4117974645,60.6004914814,66.2050719675
w_735.jpg,whale_89615,259.633959777,366.150456095,3072,2048,1351.42804704,1135.0664139,w_735.jpg,1443.60518445,1178.16151545,1559.99202393,1212.87337986,131.975395219,148.534081506,35.756880478,33.9755377052
w_3805.jpg,whale_64989,709.000428621,832.160127489,3072,2048,1015.23535554,1135.0664139,w_3805.jpg,1251.66899302,1627.37387836,1517.11266201,1410.93519442,99.1440776895,148.534081506,81.2656374501,92.7793529641
